0,The Hindu,0,National,th,national
0,The Hindu,1,International,th,international
0,The Hindu,2,Sports,th,sports
0,The Hindu,3,Science,th,science
0,The Hindu,4,Entertainment,th,entertainment
0,The Hindu,5,Business,th,business
1,The Times of India,0,National,toi,national
1,The Times of India,1,International,toi,international
1,The Times of India,2,Sports,toi,sports
1,The Times of India,3,Science,toi,science
1,The Times of India,4,Entertainment,toi,entertainment
1,The Times of India,5,Business,toi,business
2,First Post,0,National,fp,national
2,First Post,1,International,fp,international
2,First Post,2,Sports,fp,sports
2,First Post,3,Science,fp,science
2,First Post,4,Entertainment,fp,entertainment
2,First Post,5,Business,fp,business
3,The Indian Express,0,National,tie,national
3,The Indian Express,1,International,tie,international
3,The Indian Express,2,Sports,tie,sports
3,The Indian Express,3,Science,tie,science
3,The Indian Express,4,Entertainment,tie,entertainment
3,The Indian Express,5,Business,tie,business
4,Hindustan Times,0,National,ht,national
4,Hindustan Times,1,International,ht,international
4,Hindustan Times,2,Sports,ht,sports
4,Hindustan Times,3,Science,ht,science
4,Hindustan Times,4,Entertainment,ht,entertainment
4,Hindustan Times,5,Business,ht,business
